Genome,Cluster
GCF_035804835.1_ASM3580483v1_genomic_100kbp_proxy.fna,0
GCF_060079345.1_ASM6007934v1_genomic_100kbp_proxy.fna,1
GCA_007829355.1_ASM782935v1_genomic_100kbp_proxy.fna,1
GCA_036218465.1_ASM3621846v1_genomic_100kbp_proxy.fna,0
GCA_053895045.1_ASM5389504v1_genomic_100kbp_proxy.fna,1
GCF_035804415.1_ASM3580441v1_genomic_100kbp_proxy.fna,0
GCF_004101465.1_ASM410146v1_genomic_100kbp_proxy.fna,1
GCA_035814195.1_ASM3581419v1_genomic_100kbp_proxy.fna,0
GCA_003833195.1_ASM383319v1_genomic_100kbp_proxy.fna,1
GCF_036221605.1_ASM3622160v1_genomic_100kbp_proxy.fna,0
GCF_000183765.1_ASM18376v2_genomic_100kbp_proxy.fna,0
GCA_042736255.1_ASM4273625v1_genomic_100kbp_proxy.fna,0
GCA_031932205.1_ASM3193220v1_genomic_100kbp_proxy.fna,0
GCA_013009385.1_ASM1300938v1_genomic_100kbp_proxy.fna,0
GCA_050596035.1_NABI_Bsub_1_genomic_100kbp_proxy.fna,1
GCA_035809255.1_ASM3580925v1_genomic_100kbp_proxy.fna,0
GCF_046840395.1_ASM4684039v1_genomic_100kbp_proxy.fna,1
GCA_036221565.1_ASM3622156v1_genomic_100kbp_proxy.fna,0
GCF_037751545.1_ASM3775154v1_genomic_100kbp_proxy.fna,0
GCF_031932165.1_ASM3193216v1_genomic_100kbp_proxy.fna,1
GCF_002072735.1_ASM207273v1_genomic_100kbp_proxy.fna,0
GCA_049803375.1_ASM4980337v1_genomic_100kbp_proxy.fna,0
GCA_029536795.2_ASM2953679v2_genomic_100kbp_proxy.fna,0
GCF_021497525.1_ASM2149752v1_genomic_100kbp_proxy.fna,1
GCA_007845115.1_ASM784511v1_genomic_100kbp_proxy.fna,0
GCA_035804775.1_ASM3580477v1_genomic_100kbp_proxy.fna,1
GCF_031323625.1_ASM3132362v1_genomic_100kbp_proxy.fna,1
GCF_002202035.1_ASM220203v1_genomic_100kbp_proxy.fna,1
GCF_007666785.1_ASM766678v1_genomic_100kbp_proxy.fna,1
GCA_042266985.1_ASM4226698v1_genomic_100kbp_proxy.fna,1
GCA_003336895.2_ASM333689v2_genomic_100kbp_proxy.fna,0
GCA_039620435.1_ASM3962043v1_genomic_100kbp_proxy.fna,1
GCF_001565875.1_ASM156587v1_genomic_100kbp_proxy.fna,0
GCF_057444375.1_ASM5744437v1_genomic_100kbp_proxy.fna,0
GCA_040616335.1_TIED-A_genomic_100kbp_proxy.fna,0
GCF_048128465.1_ASM4812846v1_genomic_100kbp_proxy.fna,0
GCA_051966455.1_ASM5196645v1_genomic_100kbp_proxy.fna,1
GCA_001742355.1_ASM174235v1_genomic_100kbp_proxy.fna,0
GCF_050188195.1_ASM5018819v1_genomic_100kbp_proxy.fna,0
GCF_045001865.1_ASM4500186v1_genomic_100kbp_proxy.fna,1
GCF_000155325.1_ASM15532v1_genomic_100kbp_proxy.fna,1
GCF_030053655.1_ASM3005365v1_genomic_100kbp_proxy.fna,0
GCF_047314825.1_ASM4731482v1_genomic_100kbp_proxy.fna,1
GCF_028472365.1_ASM2847236v1_genomic_100kbp_proxy.fna,1
GCA_052037965.2_ASM5203796v2_genomic_100kbp_proxy.fna,1
GCF_000830595.1_ASM83059v1_genomic_100kbp_proxy.fna,1
GCF_031324185.1_ASM3132418v1_genomic_100kbp_proxy.fna,0
GCA_035812855.1_ASM3581285v1_genomic_100kbp_proxy.fna,0
GCF_003014945.1_ASM301494v1_genomic_100kbp_proxy.fna,0
GCF_035814035.1_ASM3581403v1_genomic_100kbp_proxy.fna,0
GCA_937906275.1_ERR864075_bin.129_CONCOCT_v1.1_MAG_genomic_100kbp_proxy.fna,2
GCF_014961985.1_ASM1496198v1_genomic_100kbp_proxy.fna,1
